line,diet,dph
SCN,Tetra.,5.67
SCN,Tetra.,6.05
SCN,Tetra.,6.19
SCN,Tetra.,7.08
SCN,Tetra.,6.97
SD,Tetra.,7
SD,Tetra.,5.75
SD,Tetra.,5.81
SD,Tetra.,6.06
SD,Yeast,6.769230769
SD,Yeast,7.2
SD,Yeast,11.53846154
SD,Yeast,6
SD,Yeast,6.3125
SD,Yeast,6.818181818
SD,Yeast,6
SD,Yeast,7.785714286
SD,Yeast,6.666666667
SD,Yeast,6
SD,Yeast,6
SD,Yeast,6.25
SD,Yeast,9.555555556
SD,Yeast,7.428571429
SD,Yeast,6.666666667
PES,Yeast,6.727272727
PES,Yeast,6.714285714
PES,Yeast,6.866666667
PES,Yeast,6.111111111
PES,Yeast,6.722222222
PES,Yeast,8.533333333
BUF,Yeast,8.125
BUF,Yeast,6.8
BUF,Yeast,10
BUF,Yeast,7
BUF,Yeast,7.333333333
BR,Yeast,6.058823529
BR,Yeast,7.333333333
BR,Yeast,7.1
BR,Yeast,7.125
BR,Yeast,7.75
BR,Yeast,7.5
